1970-07	7.11	63	74.2	85.5
1971-07	3.96	60.7	72.7	84.8
1972-07	2.45	63.9	74.1	84.4
1973-07	2.52	63.6	74.8	86
1974-07	1.7	62.1	73.9	85.8
1975-07	5.01	62.8	73.5	84.2
1976-07	5.29	60.8	71.8	82.8
1977-07	3.15	62.8	75.7	88.6
1978-07	4.06	61.6	72.7	83.8
1979-07	3.79	62	72.6	83.3
1980-07	3.14	63.1	76	88.9
1981-07	4.47	63.3	74.2	85.1
1982-07	4.04	63.1	74.7	86.3
1983-07	0.69	62	75.6	89.2
1984-07	4.39	62.3	73.4	84.5
1985-07	4.71	61.3	73.9	86.5
1986-07	2.62	63.6	76.9	90.3
1987-07	4.63	64.4	77.3	90.2
1988-07	4.94	64	78.1	92.2
1989-07	3.3	64.6	75.2	85.8
1990-07	3.89	64.2	75.3	86.4
1991-07	2.13	66	77.8	89.6
1992-07	6.58	65	75.3	85.5
1993-07	1.66	64.8	77.6	90.4
1994-07	4.9	65.7	76.6	87.5
1995-07	4.19	65.3	77.1	88.9
1996-07	8.82	62	73.1	84.2
1997-07	1.57	62.3	75.3	88.2
1998-07	2.67	63.5	75	86.6
1999-07	2.03	65.6	78.4	91.3
2000-07	4.7	60.9	71.3	81.7
2001-07	2.66	60	71.9	83.8
2002-07	2.44	65.1	77	88.9
2003-07	3.96	64.7	74.5	84.3
2004-07	4.91	65.5	75.2	85
2005-07	6.38	67	77.5	87.9
2006-07	2.62	66.7	77.2	87.7
2007-07	3.05	62.6	74.9	87.2
2008-07	3.24	64.2	75.8	87.4
2009-07	4.49	61.2	72.3	83.4
2010-07	2.49	66.8	79.3	91.8
2011-07	3.22	67.7	80.3	92.8
2012-07	8.52	67.7	78.2	88.7
2013-07	2.65	67.1	76.7	86.3
2014-07	3.8	63.5	74.2	84.8
2015-07	1.77	65	75.1	85.3
2016-07	5.07	66.5	77.1	87.6
2017-07	6.66	66.9	77	87.1
2018-07	10.45	65.4	76.1	86.7
2019-07	7.4	67.4	78.3	89.3
